衡钱数量,厉钱数量,初始源石锭数量,失败概率,成功概率,中间态概率
4,8,1024,0.00022808230027348796,0.9997719025419418,1.5157775039957122e-08
5,5,0,1.0,0.0,0.0
5,5,32,1.0,0.0,0.0
5,5,64,1.0,0.0,0.0
5,5,96,0.9249302729687998,0.07075738263080633,0.004312344400368264
5,5,128,0.8564397526151426,0.13552737366941386,0.008032873715408003
5,5,160,0.7934537672213483,0.1948213717015031,0.011724861077110522
5,5,192,0.7430853678595155,0.2423563670059012,0.014558265134544657
5,5,224,0.6912412670221374,0.2920790900195484,0.016679642958280835
5,5,256,0.6349762430996609,0.34494203203589663,0.020081724864414206
5,5,288,0.592386284617074,0.3852953544913471,0.02231836089154128
5,5,320,0.5471428812551656,0.42767186983881544,0.025185248905988833
5,5,352,0.5058578344748845,0.46813136853803056,0.026010796987049323
5,5,384,0.4735669460100964,0.4988735898140305,0.027559464175846808
5,5,416,0.43862114699114285,0.5318749806822807,0.02950387232654483
5,5,448,0.40744475755848486,0.5633434518151312,0.029211790626355167
5,5,480,0.3739135594874151,0.5949717717728579,0.031114668739702964
5,5,512,0.34852359705482716,0.6191900182783117,0.03228638466682987
5,5,544,0.3261724055609021,0.6409601852785823,0.03286740916048333
5,5,576,0.2968287091439652,0.6706673070766882,0.032503983779318346
5,5,608,0.27758626863320146,0.6893045575312189,0.03310917383555701
5,5,640,0.25679087818697555,0.7094843934311229,0.03372472838187489
5,5,672,0.23836855060989443,0.7272346807078207,0.03439676868226142
5,5,704,0.21974872997849926,0.7475333861839447,0.03271788383753171
5,5,736,0.20307629582735104,0.7638151937725068,0.033108510400118654
5,5,768,0.18976868782910666,0.7772026522884143,0.033028659882458525
5,5,800,0.1722249432286098,0.796241492082041,0.031533564689327644
5,5,832,0.16079320368820887,0.8079444050969309,0.031262391214843505
5,5,864,0.14948144094404806,0.8194642794177878,0.031054279638148476
5,5,896,0.13754509050216873,0.8313742344994743,0.03108067499834143
5,5,928,0.12635338295237708,0.844823680578678,0.028822936468929382
5,5,960,0.11649804135170477,0.8547429484339302,0.02875901021434875
5,5,992,0.10860162681250987,0.8633479564738878,0.028050416713586025
5,5,1024,0.10006974201962089,0.8742846039698813,0.025645654010485373
5,6,0,1.0,0.0,0.0
5,6,32,1.0,0.0,0.0
5,6,64,1.0,0.0,0.0
5,6,96,0.5105058463950506,0.48949415360494214,1.1200405672492718e-35
5,6,128,0.2694711191055152,0.7305288808944772,1.410391687970338e-35
5,6,160,0.1455726762077776,0.8544273237922163,1.618552725946539e-35
5,6,192,0.08420415585069518,0.9157958441492976,1.459670436155365e-35
5,6,224,0.04514705297101348,0.9548529470289788,1.1260988689312628e-35
5,6,256,0.022350461425218182,0.9776495385747711,1.0780820146225862e-35
5,6,288,0.012728021558034019,0.9872719784419578,8.58492995941475e-36
5,6,320,0.00646278192878215,0.9935372180712106,8.057907531870856e-36
5,6,352,0.003406564779517716,0.9965934352204739,5.348537431100325e-36
5,6,384,0.001967338907914876,0.9980326610920779,4.185202515021788e-36
5,6,416,0.0010634748799045585,0.9989365251200871,3.6310525855674085e-36
5,6,448,0.000568854041439273,0.9994311459585533,2.3320851017551638e-36
5,6,480,0.0002815438323505924,0.9997184561676431,1.804483838651444e-36
5,6,512,0.00016032920956742414,0.9998396707904261,1.5511739800196913e-36
5,6,544,9.360773414581112e-05,0.9999063922658499,1.1408931447843958e-36
