厉钱数量,初始源石锭数量,失败概率,成功概率,中间态概率
7,496,0.007737904123699856,0.9922620945780959,1.298199085060203e-09
7,512,0.005582703842953016,0.9944172951222648,1.0347766875563608e-09
7,528,0.004023619146088502,0.9959763800330163,8.208897670580309e-10
7,544,0.002888231816572041,0.997111767532351,6.510718495811845e-10
7,560,0.002082691318694299,0.99791730816047,5.208307609616718e-10
7,576,0.0015010605836795283,0.9984989390029033,4.1341257906152543e-10
7,592,0.0010795841435034276,0.998920415526006,3.3048529447938854e-10
7,608,0.0007788257336780545,0.9992211740001867,2.6612974071596486e-10
7,624,0.0005630017945314239,0.9994369979938622,2.116006963272503e-10
7,640,0.00040574820879300696,0.9995942516207078,1.7049389560123605e-10
7,656,0.00029296518885810375,0.9997070346728416,1.3829443040807434e-10
7,672,0.00021221856631930888,0.9997877813236871,1.099896926894836e-10
7,688,0.0001534076125868064,0.9998465922981865,8.922177483755689e-11
7,704,0.00011087840737154334,0.9998891215195688,7.305528286393658e-11
7,720,8.053583344591177e-05,0.9999194641082713,5.827709806422702e-11
7,736,5.833360211384944e-05,0.9999416663504954,4.738512711894475e-11
7,752,4.219785017551914e-05,0.9999578021106145,3.920535012311433e-11
7,768,3.066868559454185e-05,0.9999693312828669,3.15331707565724e-11
7,784,2.2255851881136724e-05,0.9999777441225949,2.5520949735862575e-11
7,800,1.609894021857839e-05,0.9999839010383987,2.13786926319016e-11
7,816,1.1715307702791424e-05,0.9999882846748349,1.7457689131678204e-11
7,832,8.505270322540539e-06,0.9999914947157229,1.395075042838071e-11
7,848,6.149495853301997e-06,0.9999938504922862,1.1855965459899008e-11
7,864,4.474258250525048e-06,0.9999955257318752,9.870245647363354e-12
7,880,3.249440556489998e-06,0.9999967505516909,7.748223384927895e-12
7,896,2.3507406930163434e-06,0.999997649252614,6.688847754961638e-12
7,912,1.708166268652742e-06,0.9999982918280459,5.682438355231884e-12
7,928,1.240612879711774e-06,0.9999987593827412,4.375074855763885e-12
7,944,8.97568868837045e-07,0.99999910242729,3.837345930005145e-12
